t, PE, KE, TE,q1, q2,
0.200000, 638.038919, 61.195560, 699.234480,-0.783164, 1.274138,
0.200625, 637.802487, 59.785530, 697.588017,-0.784966, 1.278061,
0.201250, 637.568589, 58.418577, 695.987166,-0.786735, 1.281968,
0.201875, 637.337246, 57.094279, 694.431525,-0.788471, 1.285860,
0.202500, 637.108455, 55.812199, 692.920655,-0.790173, 1.289735,
0.203125, 636.882237, 54.571904, 691.454141,-0.791842, 1.293594,
0.203750, 636.658589, 53.372944, 690.031532,-0.793479, 1.297438,
0.204375, 636.437528, 52.214873, 688.652401,-0.795082, 1.301265,
0.205000, 636.219052, 51.097232, 687.316284,-0.796652, 1.305076,
0.205625, 636.003176, 50.019566, 686.022741,-0.798189, 1.308871,
0.206250, 635.789896, 48.981405, 684.771300,-0.799693, 1.312650,
0.206875, 635.579227, 47.982282, 683.561509,-0.801165, 1.316412,
0.207500, 635.371163, 47.021722, 682.392885,-0.802604, 1.320159,
0.208125, 635.165719, 46.099248, 681.264967,-0.804011, 1.323889,
0.208750, 634.962887, 45.214376, 680.177264,-0.805385, 1.327602,
0.209375, 634.762681, 44.366624, 679.129305,-0.806726, 1.331299,
0.210000, 634.565092, 43.555500, 678.120592,-0.808036, 1.334980,
0.210625, 634.370132, 42.780514, 677.150647,-0.809313, 1.338644,
0.211250, 634.177793, 42.041170, 676.218963,-0.810559, 1.342292,
0.211875, 633.988084, 41.336971, 675.325055,-0.811772, 1.345923,
0.212500, 633.800995, 40.667417, 674.468412,-0.812953, 1.349537,
0.213125, 633.616537, 40.032005, 673.648542,-0.814103, 1.353135,
0.213750, 633.434699, 39.430231, 672.864929,-0.815221, 1.356716,
0.214375, 633.255487, 38.861588, 672.117075,-0.816308, 1.360280,
0.215000, 633.078892, 38.325569, 671.404461,-0.817363, 1.363828,
0.215625, 632.904920, 37.821663, 670.726583,-0.818387, 1.367359,
0.216250, 632.733558, 37.349361, 670.082920,-0.819380, 1.370873,
0.216875, 632.564813, 36.908150, 669.472963,-0.820342, 1.374370,
0.217500, 632.398671, 36.497518, 668.896190,-0.821272, 1.377850,
0.218125, 632.235138, 36.116951, 668.352088,-0.822172, 1.381313,
0.218750, 632.074198, 35.765935, 667.840133,-0.823042, 1.384759,
0.219375, 631.915857, 35.443955, 667.359812,-0.823880, 1.388189,
0.220000, 631.760099, 35.150498, 666.910597,-0.824688, 1.391601,
0.220625, 631.606928, 34.885047, 666.491975,-0.825466, 1.394996,
0.221250, 631.456327, 34.647091, 666.103417,-0.826214, 1.398374,
0.221875, 631.308299, 34.436111, 665.744410,-0.826932, 1.401735,
0.222500, 631.162828, 34.251599, 665.414427,-0.827619, 1.405079,
0.223125, 631.019914, 34.093036, 665.112951,-0.828277, 1.408406,
0.223750, 630.879542, 33.959916, 664.839457,-0.828906, 1.411716,
0.224375, 630.741710, 33.851721, 664.593431,-0.829504, 1.415008,
0.225000, 630.606402, 33.767947, 664.374349,-0.830074, 1.418284,
0.225625, 630.473618, 33.708079, 664.181697,-0.830614, 1.421542,
0.226250, 630.343337, 33.671615, 664.014953,-0.831125, 1.424782,
0.226875, 630.215561, 33.658043, 663.873604,-0.831607, 1.428006,
0.227500, 630.090269, 33.666865, 663.757134,-0.832060, 1.431212,
0.228125, 629.967459, 33.697570, 663.665029,-0.832484, 1.434401,
0.228750, 629.847112, 33.749666, 663.596779,-0.832880, 1.437573,
0.229375, 629.729226, 33.822645, 663.551871,-0.833248, 1.440727,
0.230000, 629.613780, 33.916019, 663.529799,-0.833587, 1.443864,
0.230625, 629.500771, 34.029284, 663.530055,-0.833898, 1.446984,
0.231250, 629.390178, 34.161957, 663.552135,-0.834181, 1.450086,
0.231875, 629.281997, 34.313539, 663.595536,-0.834437, 1.453171,
0.232500, 629.176207, 34.483553, 663.659759,-0.834665, 1.456238,
0.233125, 629.072803, 34.671502, 663.744305,-0.834865, 1.459288,
0.233750, 628.971763, 34.876918, 663.848681,-0.835038, 1.462321,
0.234375, 628.873083, 35.099308, 663.972390,-0.835184, 1.465336,
0.235000, 628.776740, 35.338209, 664.114949,-0.835303, 1.468334,
0.235625, 628.682728, 35.593135, 664.275863,-0.835395, 1.471314,
0.236250, 628.591024, 35.863631, 664.454655,-0.835460, 1.474277,
0.236875, 628.501623, 36.149215, 664.650838,-0.835499, 1.477223,
0.237500, 628.414501, 36.449438, 664.863940,-0.835511, 1.480151,
0.238125, 628.329652, 36.763826, 665.093478,-0.835497, 1.483061,
0.238750, 628.247051, 37.091938, 665.338989,-0.835457, 1.485954,
0.239375, 628.166692, 37.433305, 665.599997,-0.835392, 1.488830,
